"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LSQPNW95","book","1585","Borough, William","A discourse of the variation of the cumpas, or Magneticall Needle. Wherin is Mathematically shewed, the maner of the observation, effectes, and application thereof, made up W. B. Wm. Borough.","","","","","","","1585","2020-08-31 13:40:20","2020-12-17 11:18:11","2015-12-16 19:38:51","","","","","","","A discourse of the variation of the cumpas","","","","","Thomas East; Robert Ballard","London","English","","","","","Open WorldCat","","Imprinted by T. East for R. Ballard.  1585","","","https://www.proquest.com/eebo/docview/2264176496?&imgSeq=1","England; Navigation; Kompass; Norman; Instrument; Abweichung; Handbuch; Inklination; Azoren; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCIFCWHI","book","1673","Albrecht, Andreas","Eigentlicher Abriss und Beschreibung eines sehr nützlich und nothwendigen Instruments zur Mechanica: so auf eine Schreib-Taffel gerichtet und zum Feldmessen, Vestung-aussstecken, Hoch und Tieff messen, Land und Wasser abwegen: ingleichen auch zur Perspectiv und andern gar füglich zu gebrauchen","","","","","","","1673","2020-08-31 13:40:20","2020-11-30 09:36:06","2018-08-10 09:03:28","","","","","","","Eigentlicher Abriss","","","","","Paul Fürstens; Christoff Gerhard","Nuremberg","German","","","","","Open WorldCat","","Nürnberg/ In Verlegung Paul Fürstens Kunst- und Buchhändlers seel. Wittib und Erben: Gedruckt bey Christoff Gerhard / 1673.","","","https://www.e-rara.ch/i3f/v20/274088/manifest","Kompass; Abbildung; Geographie; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE; tr_","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE3PFCMZ","book","1639","Sandt, Maximilian van der","Maria Mundus Mysticus.","","","","","","","1639","2020-08-31 13:40:20","2020-11-26 14:54:39","","","","","","","","Maria Mvndvs Mysticvs","","","","","Kinchius","Coloniae Agrippinae","Latin","","","","","Open WorldCat","","Coloniae. Apud Ioannem Kinkiamo Anno MDCXXXIX.","","","https://hdl.handle.net/2027/ucm.5325007553","Jesuiten; Theologie; Maria; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TH4RHUZQ","book","1747","Martin, Benjamin","Philosophia britannica: or, A new & comprehensive system of the Newtonian philosophy, astronomy & geomgraphy In a course of twelve lectures, with notes, containing the physical, mechanical, geometrical, & experimental proofs & illustrations of all the principal propositions in every branch of natural science. Also a particular account of the invention ... of all the considerable instruments, engines, & machines","","","","","","","1747","2020-08-31 13:40:20","2020-11-30 09:52:31","2018-05-31 15:01:42","","","","1","2","","Philosophia britannica","","","","","C. Micklewright & Co.","Reading","English","","","","","Open WorldCat","","Printed by C. Micklewright & Co. for the author","","","https://babel.hathitrust.org/cgi/pt?id=mdp.39015009239321&view=1up&seq=2","Physik; Newton; England; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ML6P9F8Z","book","1689","Meyer, Cornelio","Nuovi ritrovamenti : nelli quali si favella: 1. De gli occhiali atti ad ogni vista, 2. Delle mole, che macinano mediante la corrente dell'acque, 3. De gli argini, delle loro rotture, e come si ristaurano, 4. Di profondare l'alvei de i fiumi à commodo della navigatione, 5. Delle carrette, e calessi, e come si possano far tirare con poco aggravio de gli animali : 6. Del fabricar commodo, e camera con ottanta commodità, 7. Del corso delle comete, e della loro predittione, 8. Dell'introduttione dell'arte della seta, e dell'utile, che ne proviene, 9. Dell'unire le diramationi dell'acque, di farle inalzare, e di condurle à Roma, 10. Delle medicine per fanare le malatie, e per far morire li vermicciuoli generati dall'ova de gli animali / dati in luce dall'ingegneiro Cornelio Meyer per eccitare l'ingegno de'virtuosi ad augmentarli, ò aggiungervi maggior perfettione","","","","","","","1689","2020-08-31 13:40:20","2020-11-27 09:31:08","","","","","","","","Nuovi ritrovamenti","","","","","Giacomo Komarek","Roma","Italian","","","","","Open WorldCat","","In Roma: Nella Stamperia di Gio: Giacomo Komarek Boëmo all'Angelo Custode, 1689.","","","https://www.e-rara.ch/i3f/v20/4098292/manifest","Galileo; Abbildung; Museum; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGM7XG4U","book","1632","Remmelin, Johann Ludwig","Instrumentum Magneticum, Das ist: Bequem Instrument, dardurch allein durch die Magnetzungen, ohne Hilff der Sonnen, Mons oder Sternen, aller Orth in Welt die Latitudo oder Eleuatio Poli zuerkundigen: Sonderlich den Schiff: unnd Stewrleuten auff dem Meer dienlich, als so hierdurch under wehrender grosser Ungestümme in tieffester Finsternuß ihnen selbst helffen mögen","","","","","","","1632","2020-08-31 13:40:20","2020-11-26 14:50:49","","","","","","","","Instrumentum Magneticum","","","","","Andream Aperger","Augsburg","German","","","","","Open WorldCat","","Sedrucht zu Augspurg/ durch Andream Aperger /Im Iahr Christi. M.DC.XXXII.","","","http://digital.slub-dresden.de/id263697037","Navigation; Instrument; Inklination; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; Z_PRIORITY2; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNQCUZAH","book","1629","Gilbert, William","De magnete: magneticisque corporibus, vi eius attractiva, & medicinali proprietate, motionibus, usuque & directione, ut & pyxidis nauticae compositione, terrestrisque globi diurna revolutione magnetica, tractatus novus & absolutissimus ex veterum et recentiorum scriptis erutus, aenis figuris & notis illustratus per Wolffgangum Lochmannum, D. & Mathematicum.","","","","","","","1629","2020-08-31 13:40:20","2020-11-26 14:48:55","","","232","","","","","De magnete","","","","","Guilelmum Fitzerum","Frankfurt","Latin","","","","","Google Books","","Francofurti, Apud Guilelmum Fitzerum, Anglum. Anno M.DC.XXIX.","","; ","https://books.google.de/books?id=_VA1OAAACAAJ; http://purl.uni-rostock.de/rosdok/ppn769054471","Magnet; Gilbert; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BETDKIX4","book","1596","Norman, Robert; Borough, William","The new attractive: Containing a short discourse of the magnes or loadstone: and amongst other his vertues, of a new discovered secret and subtill propertie, concerning the declination of the needle, touched therewith under the plaine of the horizon. Now first founde out by Robert Norman hydrographer: Heereunto are annexed certaine necessary rules for the art of nauigation by the same R.N. Newly corrected and emended by M.W.B.","","","","","","","1596","2020-08-31 13:40:20","2020-11-30 11:31:14","","","","","","","","New attractive","","","","","Edward Allde; for Hugh Astley","S.L.","English","","","","","Open WorldCat","","By Edward Allde, for Hugh Astley dwelling at S. Magnus corner.","","","https://search.proquest.com/docview/2248516030/D0364C4E3E154387PQ/2?accountid=104321","Norman; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3X4SS2WV","book","1592","Norman, Robert; Borough, William","The new attractive: Containing a short discourse of the magnes or loadstone: and amongst other his vertues, of a new discovered secret and subtill propertie, concerning the declination of the needle, touched therewith under the plaine of the horizon. Now first founde out by Robert Norman hydrographer: Heereunto are annexed certaine necessary rules for the art of nauigation by the same R.N. Newly corrected and emended by M.W.B.","","","","","","","1592","2020-08-31 13:40:20","2020-11-26 14:05:57","","","","","","","","The new attractive","","","","","Edward Allde; for Hew Astley","London","English","","","","","Open WorldCat","","Imprinted at London by E. Allde, for Hew Astley. 1592.","","","https://search.proquest.com/docview/2240919477?accountid=104321","Norman; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HF866GZK","book","1614","Norman, Robert; Borough, William","The newe, attractive: shewing the nature, propertie, and manifold vertues of the loadstone, with the declination of the needle, touched therewith, under the plaine of the horizon. Found out and discovered by Ro: Norman. With the application thereof, for finding the true variation of the compas: as also divers profitable rules and Instruments, for the more perfection and exactnes in the Art of nauigation. By maister W: Burrowes","","","","","","","1614","2020-08-31 13:40:20","2020-11-26 14:35:36","2018-04-25 13:29:18","","","","","","","The newe, attractive","","","","","Thomas Creede; Iohn Tappe","London","English","","","","","Open WorldCat","","Printed by T. C. for Iohn Tappe, and are to be sold at his shop at S: Magnus corner. 1614.","","","https://search.proquest.com/docview/2240919611?accountid=104321","Norman; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R9Z4T3QV","book","1650","Porta, Giambattista della","Magiae naturalis libri viginti. Ab ipso quidem authore adaucti, nunc vero ab infinitis, quibus editio illa scatebat mendis, optime repurgati: in quibus scientiarum Naturalium divitiae & deliciae demonstrantur.","","","","","","","1650","2020-08-31 13:40:20","2020-11-27 08:58:52","2018-04-25 12:59:49","","","","","","","Magia naturalis","","","","","Ioannis Berthelin","Rouen","Latin","","","","","Open WorldCat","","Rothomagi, Sumptibus Ioannis Berthelin, Bibliopolae. M. DC. L.","","","https://babel.hathitrust.org/cgi/pt?id=osu.32435017740358&view=1up&seq=3","Magie; Porta; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKINDGXW","book","1651","Porta, Giambattista della","Magiae naturalis libri viginti. Ab ipso quidem authore adaucti, nunc vero ab infinitis, quibus editio illa scatebat mendis, optime repurgati: in quibus scientiarum Naturalium divitiae & deliciae demonstrantur.","","","","","","","1651","2020-08-31 13:40:20","2020-11-30 09:07:36","","","","","","","","Magia naturalis","","","","","Petrum Leffen","Leiden","Latin","","","","","Open WorldCat","","Lugd. Batavorum, Apud Petrum LeffenAnno 1651","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11256379/manifest","Magie; Porta; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THCZRZPD","book","1597","Porta, Giambattista della","Magiae naturalis, libri viginti, in quibus scientiarum Naturalium divitie, & deliciae demonstrantur. Iam de novo, ad omnibus mendis repurgati, in lucem prodierunt.","","","","","","","1597","2020-08-31 13:40:20","2020-11-26 14:12:42","","","","","","","","Magia naturalis","","","","","Andreae Wecheli heredes; Claudium Marnium; Ioann. Aubrium","Frankfurt","Latin","","","","","Open WorldCat","","Francofurti Apud Andreae Wecheli heredes, Claudium Marnium & Ioann. Aubrium MDXCVII","","","https://www.e-rara.ch/i3f/v20/4373551/manifest","Magie; Porta; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFVLLFTI","book","1619","Porta, Giambattista della","Magiae naturalis, libri viginti, in quibus scientiarum Naturalium divitie, & deliciae demonstrantur. Iam de novo, ad omnibus mendis repurgati, in lucem prodierunt.","","","","","","","1619","2020-08-31 13:40:20","2020-11-30 11:35:21","","","","","","","","Magia naturalis","","","","","Daniel Aubry; David Aubry; Clementis Schleichius","Hanover","Latin","","","","","Open WorldCat","","Hanoviae, Typis Wechelianis, impensis Danielis ac Davidis Aubriorum & Clementis Schleichii. MDC.XIX.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10132907/manifest","Magie; Porta; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9RCUPY3","book","1607","Porta, Giambattista della","Magiae naturalis, libri viginti, in quibus scientiarum Naturalium divitie, & deliciae demonstrantur. Iam de novo, ad omnibus mendis repurgati, in lucem prodierunt.","","","","","","","1607","2020-08-31 13:40:20","2020-11-30 11:34:22","","","","","","","","Magiae naturalis","","","","","Samuel Hempel; Claudij Marnius; Heirs of Johann Aubry","Frankfurt","Latin","","","","","Open WorldCat","","Francofurti Excudebat Samuel Hempelius, Sumptibus Claudij Marnij, & haeredum Iann Aubrij M.DC.VII.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10132906/manifest","Magie; Porta; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSSGALTN","book","1644","Porta, Giambattista della","Magiae naturalis libri viginti. Ab ipso quidem authore adaucti, nunc vero ab infinitis, quibus editio illa scatebat mendis, optime repurgati: in quibus scientiarum Nturalium divitiae & deliciae demonstrantur.","","","","","","","1644","2020-08-31 13:40:20","2020-11-26 15:07:57","","","","","","","","Magia naturalis","","","","","Hieronymum de Vogel","Leiden","Latin","","","","","Open WorldCat","","Lugd. Batavorum, Apud Hieronymum de Vogel, MDCXLIV.","","","https://www.e-rara.ch/i3f/v20/10591025/manifest","Magie; Porta; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XITTVZ7K","book","1644","Porta, Giambattista della","Magiae naturalis, libri viginti, in quibus scientiarum Naturalium divitie, & deliciae demonstrantur. Iam de novo, ad omnibus mendis repurgati, in lucem prodierunt.","","","","","","","1644","2020-08-31 13:40:20","2020-11-30 11:36:16","","","","","","","","Magia naturalis","","","","","Johannis Pressii","Hanover","Latin","","","","","Open WorldCat","","Hanoviae. Tpyis Aubrianis Sumptibus Johannis pressii M. DC. XLIV.","","","https://archive.org/details/bub_gb_yV4cquOeF6IC/page/n5/mode/2up","Magie; Porta; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY3; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YIYQ5AV","book","1562","Schöner, Andreas","Gnomonice, Hoc est: De Descriptionibus Horologiorum Sciotericorum Omnis Generis Proiectionibus circulorum Sphaericorum ad superficies: cum planas, tum conuexas concausasq[ue], Sphaericas, Cylindricas, ac Conicas: Item delineationibus quadrantum, annulroum, &c. Libri tres. His Addita Sunt Eiusdem Autoris: Gnomonices Mechanices, seu de designandis per instrumenta horologijs libellus. De inventione linae Meridianae, ac instrumenti ad hoc necessarij compositione. De compositione Astrolabij plani & columnaris, directorij Astrologici plani.","","","","","","","1562","2020-08-31 13:40:20","2020-11-26 11:51:56","","","","","","","","Gnomonice Andreae Schoneri Noribergensis","","","","","Ioannem Montanus; Ulricum Neuberus","Nuremberg","Latin","","","","","Open WorldCat","","Noribergae, Apud Ioannem Montanum & Ulricum Neuberum, M. D. LXII.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11199826/manifest","Kompass; Sonnenuhr; Meridian; Handbuch; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BU4RQB28","book","1581","Coignet, Michel","Instruction nouvelle des poincts plus excellents & nécessaires, touchant l'art de naviguer: contenant plusieurs règles, pratiques, enseignemens, instrumens tresidoines à tous pilotes, maistres de navire, & autres qui journellement hantent la mer... nouvellement practiqué & composé en langue thioise, par Michiel Coignet","","","","","","Collection : French books before 1601 ; 473.11","1581","2020-08-31 13:40:20","2020-11-26 13:48:59","2018-04-11 10:16:41","","","","","","","Instruction nouvelle des poincts plus excellents & nécessaires, touchant l'art de naviguer","","","","","Henry Hendrix","Antwerp","frm","","","","","Open WorldCat","","A Anvers, Chez Henry Hendrix, à l'ensiegne de la fleur de Lis. Avec Privilege Royal. 1581.","","","https://books.google.it/books?id=Gyz8YJCZcvwC&dq=intitle:Instruction+nouvelle+des+poincts+plus+excellents+%26+n%C3%A9cessaires+1581&as_brr=3&redir_esc=y&hl=it","Navigation; Niederlande; Abweichung; Handbuch; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"532THCZE","book","1629","Cabeo, Niccolò","Philosophia magnetica in qua magnetis natura penitus explicatur, et omnium quae hoc lapide cernuntur, causae propriae afferuntur, nova etiam praxis construitur, quae propriam poli elevationem, cum suo meridiano, ubique demonstrat, multa quoque dicuntur de electricis, et aliis attractionibus, et eorum causis: additis figuris variis, tam aeneis, quam ligno incisis","","","","","","","1629","2020-08-31 13:40:20","2020-11-26 14:48:11","","","","","","","","Philosophia magnetica","","","","","Ioannem Kinckium","Cologne","Latin","","","","","Open WorldCat","","Prostant Coloniae, Apud Ioannem Kinckium, ad interfigne Monocerotis. Anno M.D.C.XXIX.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10944299/manifest","Magnet; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TU4DXETQ","document","1597","Brengger, Johann Georg","Brief an Hans Georg Herwart von Hohenburg vom 20. Oktober 1597","","","","","","","1597","2020-08-31 13:40:20","2020-11-26 14:11:39","","","","","","","","Brief","","","","","","","","","","München, Universitätsbibliothek, 2^o Cod. ms. 692, S. 372-376","","","","","","","https://www.dropbox.com/home/christoph_imagedb/Documents/Brengger%201597%20TU4DXETQ","Mathematik; Kepler; Mss; Polarität; Abweichung; Briefwechsel; Cesalpino; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; LOCAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y2K3RXG5","document","1665","Anonymous","Excercitatio Quarta. De Magnete et Virtutibus Magnetis","","","","","","","1665","2020-08-31 13:40:20","2020-11-27 09:02:31","","","","","","","","","","","","","","","Latin","","","Edinburgh, Royal Observatory, Cr. 1.28, S. 35-53","","","","","","","","Physik; Magnet; Jesuiten; Experiment; Mss; DB; TR_LAYOUT; TR_ONTR; TR_IMAGESELECTION; LOCAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLMHTFPG","document","1639","APUG","Epistolae de magnete et rebus naturalibus","","","","","","","1639","2020-08-31 13:40:20","2020-12-17 11:20:51","","","","","","","","","","","","","","","Latin","","","Archivio della Pontificia Università Gregoriana, Rom","","","","","","","","Magnet; Jesuiten; Kircher; Mss; DB; TR_IMAGESELECTION; LOCAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHUHMYDH","book","1584","Montenay, Georgette de","Emblematum Christianorum centuria, cum eorundem Latina interpretatione. Cent emblemes chrestiens de Damoiselle Georgette de Montenay.","","","","","","","1584","2020-08-31 13:40:20","2020-11-26 13:55:55","","","","","","","","Emblematum Christianorum centuria","","","","","Christophorum Froschouerum","Zurig","Latin","","","","","Open WorldCat","","Tiguri, Apud Christophorum Froschouerum. MD XXCIIII.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11347928/manifest","Abbildung; Theologie; Emblem; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RN7TJKXM","book","1660","Veen, Otto van","Amoris divini emblemata Studio et Aere Othonis Vaenl concinnata.","","","","","","","1660","2020-08-31 13:40:20","2020-11-30 09:32:24","","","","","","","","Amoris divini emblemata","","","","","Balthasaris Moreti","Antwerp","Latin","","","","","Open WorldCat","","Antverpiae, Ex Officina Plantiniana Balthasaris Moreti. M.DC. IX.","","","https://commons.ptsem.edu/id/amorisdiviniembl00veen","Theologie; Sonnenblume; Emblem; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCA2T7M4","book","1624","Veen, Otto van","Emblemata, sive Symbola: a Principibus, viris Eeclesiasticis, ac Militaribus, alijsque vsurpanda = Deuises, ou, Emblemes: pour Princes, gens d'Eglise, gens de guerre, & aultres.","","","","","","","1624","2020-08-31 13:40:20","2020-11-26 14:45:35","2017-02-20 12:28:07","","","","","","","Emblemata, sive Symbola","","","","","Huberti Antonii","Bruxelles","Latin","","","","","Open WorldCat","","Bruxellae, Ex officina Huberti Antonii, Typographi","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11347917/manifest","Theologie; Emblem; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2KPGSLQ","book","1634","Pietrasanta, Silvestro","De symbolis heroicis libri IX","","","","","","","1634","2020-08-31 13:40:20","2020-11-26 14:52:30","","","","","","","","","","","","","Balthasar Moretus","Antwerp","Latin","","","","","Open WorldCat","","Antuerpiae, ex officina plantiniana batlthasaris Moreti. MDC.XXXIV. Cum privilegiis Caesareo et regio.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11347798/manifest","Jesuiten; Kircher; Telegraph; Theologie; Uhr; Sonnenuhr; Strada; Sonnenblume; Emblem; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSV3QRLT","book","1633","Schwenter, Daniel","Steganologia & steganographia aucta: Geheime, Magische, natürliche Red vnnd Schreibkunst: auss vielfältigs begehren guter Freunde, auffs neue revidirt, an etlichen Orten corrigirt, was verborgen geschrieben detegirt, mit schönen vnd wunderlichen Künsten, der Steganologiae vnnd Steganographiae zugethan, augirt, vnd dann zum drittenmal in Truck verfertiget","","","","","","","1633","2020-08-31 13:40:20","2020-11-26 14:52:19","","","","","","","","Steganologia & steganographia aucta","","","","","Jeremiae Dümlers","Nürnberg","German","","","","","Open WorldCat","","OCLC: 3002756","","","https://books.google.it/books?id=eppWAAAAcAAJ&pg=PP22&dq=Steganologia+%26+steganographia+1622&hl=it&sa=X&ved=2ahUKEwieib746bbsAhXBolwKHRMAAdYQ6AEwAHoECAAQAg#v=onepage&q=Steganologia%20%26%20steganographia%201622&f=false","Magie; Telegraph; Schwenter; DB; ONHOLD; Z_MISSING; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFMBM9UT","document","1562","Taisnier, Jean","Opusculum perpetua memoria dignissimum: de natura magnetis, et eius effectibus. Item De motu continuo. Demonstratio proportioni motuum localium, contra Aristotelem & alios Philosophos. De motu alio celerrimo, hactenus incognito.","","","","","","","1562","2020-08-31 13:40:20","2021-07-01 17:35:34","","","","","","","","","","","","","Ioannem Birckmannum","","Latin","","","Jena, Universitätsbibliothek: Sag. f.18. cart. misc. XVI-XVII","","","","Coloniae, Apud Ioannem Birckmannum, Anno M. D. LXIL. DFMBM9UT","","","https://www.dropbox.com/home/christoph_imagedb/Documents/Taisnier%201562%20(Cologne)%20DFMBM9UT","Magnet; Mss; Taisnier; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; TR_HTR checked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96ZP3QGA","book","1622","Schwenter, Daniel","Steganologia & steganographia aucta: geheime, magische, natürliche Red unnd Schreibkunst; auff vielfältigs Begeren guter Freunde, auffs Neue revidirt, an etlichen Orten corrigirt, was verborgen geschrieben detegirt","","","","","","","1622","2020-08-31 13:40:20","2020-11-26 14:44:59","","","","","","","","Steganologia & steganographia aucta","","","","","Simon Halbmayer","Nuremberg","German","","","","","Open WorldCat","","Nürnberg","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11081558/manifest","Magie; Technik; Telegraph; Schwenter; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSXUCDMA","book","1557","Cardano, Gerolamo","De rerum varietate libri XVII adiectus est capitum, rerum & sententiarum notatu dignissimarum index.","","","","","","","1557","2020-08-31 13:40:20","2020-11-26 11:48:21","","","","","","","","","","","","","Henrichum Petri","Basel","Latin","","","","","Open WorldCat","","Basileæ, Anno M. D. LVII.","","","https://www.e-rara.ch/i3f/v20/16554681/manifest","Magie; Technik; Cardano; Telegraph; Geheimnis; Taisnier; Perpetuum mobile; Architektur; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
